name,use,dmlens
6D3em,1.0,-0.004643543269555947
6D3et,1.0,0.01276290492335555
6D3gh,1.0,-0.03486839528041186
6D4bo,0.0,0.0
6D4ce,0.0,0.0
6D4co,0.0,0.0
6D4dh,0.0,0.0
3D1aw,1.0,0.01127065353122543
3D1bp,1.0,0.0064398148880221735
3D1fc,1.0,0.007161405943650558
3D3aw,1.0,0.014200101134892566
3D3ba,1.0,0.0021255215488095855
3D3cd,1.0,0.0101779333812766
3D4at,0.0,0.0
3D4cj,0.0,0.0
3D4cy,0.0,0.0
3D4dh,0.0,0.0
3D4dy,0.0,0.0
3D4gf,0.0,0.0
4D1aj,1.0,-0.017785182433629615
4D1de,1.0,-0.030158145043665624
4D1hd,1.0,0.005441037164361498
4D1hy,1.0,0.027199521562654094
4D1jd,1.0,-0.02317208450440303
4D1kj,1.0,-0.029874039020613335
4D1oh,1.0,0.005878636203713344
4D1pc,1.0,-0.017077491088977825
4D1pg,1.0,-0.011128677165737587
4D1pu,0.0,0.0
4D1rh,1.0,0.01293608690899183
4D1sa,1.0,-0.004093918648219001
4D1sk,1.0,-0.02011963016837766
4D2an,0.0,0.0
4D2fp,1.0,0.004332920291976933
4D2gb,0.0,0.0
4D2gp,1.0,0.036040624843396665
4D2ja,1.0,0.02677244778573592
4D2mc,0.0,0.0
4D2mj,1.0,0.02163284537035645
4D3cy,1.0,0.0008812914015312312
4D3df,1.0,0.0043794920548124346
4D3ez,1.0,-0.022817017118468008
4D3fq,1.0,-0.0049201468854683655
4D3gx,1.0,-0.05481712270774222
4D3kr,0.0,0.0
4D3lp,0.0,0.0
4D3mk,0.0,0.0
4D3nc,1.0,0.013991214736488844
4D3nr,1.0,-0.08568155266147534
4D3oe,1.0,-0.03785020663442161
4D4bk,0.0,0.0
4D4dm,0.0,0.0
4D4fx,0.0,0.0
4D4hf,0.0,0.0
4D4ib,0.0,0.0
4D4id,0.0,0.0
4D4ii,0.0,0.0
4D4in,0.0,0.0
4D4ju,0.0,0.0
4D4jy,0.0,0.0
5D1cb,1.0,0.015416189359856537
5D1ck,1.0,0.010032938690893257
5D1dn,1.0,-0.11788823593992057
5D1ee,1.0,-0.0591669688999954
5D1eo,1.0,-0.008523603937955121
5D1hk,1.0,-6.200893624121705e-05
5D1if,1.0,-0.05046455244089
5D1iz,1.0,0.030234308969006723
5D1kl,1.0,0.01859202785835877
5D2ac,1.0,0.0003621472428603917
5D2ay,1.0,0.005979199909887531
5D2bv,1.0,-0.029596409103501167
5D2by,1.0,-0.002749867537946926
5D2ci,0.0,0.0
5D2ct,1.0,-0.024783114220329708
5D2dw,1.0,0.015860266919526685
5D2eb,0.0,0.0
5D2fq,1.0,-0.015610291451110786
5D2he,0.0,0.0
5D2le,1.0,-0.0005374412461125466
5D2my,1.0,0.006374732492693755
5D2nt,0.0,0.0
5D3ax,1.0,-0.01794937074625419
5D3ci,1.0,0.012460849499742466
5D3cx,1.0,-0.08843246099066834
5D3dh,0.0,0.0
5D3gv,1.0,0.014703650950501065
5D3hh,1.0,-0.10720255968506619
5D3ht,1.0,-0.0018350905581107774
5D3jh,1.0,-0.04768238044250035
5D3jq,1.0,0.007315004422017261
5D3km,1.0,-0.09340364415861854
5D3kt,0.0,0.0
5D3la,1.0,0.004262083423350133
5D3lc,1.0,0.0008626493459261073
5D3mh,1.0,0.011448328071480843
5D3mq,1.0,0.003624622144426895
